Landing Page,Clicks,Impressions,CTR (%),Avg Position
https://crazygatorairboats.com/,89,8778,1.01,33.6
https://crazygatorairboats.com/airboat-tours,14,2318,0.6,27.6
https://crazygatorairboats.com/book-now,5,2231,0.22,8.3
https://crazygatorairboats.com/faqs,1,2221,0.05,12.1
https://crazygatorairboats.com/about,3,1988,0.15,8.6
https://crazygatorairboats.com/contact,0,1729,0.0,16.2
https://www.crazygatorairboats.com/,298,1597,18.66,4.0
https://crazygatorairboats.com/groups,1,1446,0.07,16.3
https://crazygatorairboats.com/blog,0,1366,0.0,10.7
https://crazygatorairboats.com/gallery,5,1231,0.41,7.4
https://crazygatorairboats.com/login,0,1197,0.0,11.5
https://crazygatorairboats.com/privacy-policy,0,171,0.0,99.5
https://crazygatorairboats.com/blog/f/plants-and-vegetation-of-the-florida-everglades,1,165,0.61,17.4
https://crazygatorairboats.com/blog/f/night-tours-with-crazy-gator-airboat-tours,0,62,0.0,24.1
https://crazygatorairboats.com/blog/f/animals-you-can-encounter-on-a-crazy-gator-airboat-tour,0,60,0.0,29.1
https://crazygatorairboats.com/splash-page,0,59,0.0,8.6
https://crazygatorairboats.com/blog/f/discover-the-thrills-of-crazy-gator-airboat-tours,0,43,0.0,10.6
https://crazygatorairboats.com/test,0,2,0.0,7.0
